QUANTIDADEDEFEITOS;PLANOMNT;PRIODEF;SEALINSPEÇÃO;GRUPO2DEFEITO;EQUIPEEXECUÇÃO;STATUSEXECUÇÃO
1;ALIMENTADOR;A;LNC01C4;poste;LV;ACOMPANHAR
1;ALIMENTADOR;P2;LNC01C4;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;A;LNC01C4;poste;LM;ACOMPANHAR
1;ALIMENTADOR;A;LNC01C4;poste;LM;ACOMPANHAR
1;ALIMENTADOR;P2;LNC01C4;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C4;poste;LM;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C4;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C4;poste;LM;PEND F_PRAZO
1;ALIMENTADOR;A;LNC01C4;poste;LV;ACOMPANHAR
1;ALIMENTADOR;A;LNC01C3;condutor;LM;ACOMPANHAR
1;ALIMENTADOR;P2;LNC01C3;condutor;LM;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C3;condutor;LM;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C3;condutor;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C3;condutor;LV;PEND F_PRAZO
1;ALIMENTADOR;A;LNC01C3;condutor;LM;ACOMPANHAR
1;ALIMENTADOR;A;LNC01C3;condutor;LV;ACOMPANHAR
1;ALIMENTADOR;P2;LNC01C3;condutor;LM;PEND F_PRAZO
1;ALIMENTADOR;A;LNC01C3;poste;LM;ACOMPANHAR
1;ALIMENTADOR;P2;LNC01C3;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C3;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C3;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C3;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C3;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C3;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;A;LNC01C3;poste;LM;ACOMPANHAR
1;ALIMENTADOR;P2;LNC01C3;poste;LM;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C3;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C3;poste;LM;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;A;LNC01C3;poste;LV;ACOMPANHAR
1;ALIMENTADOR;P1;SMC01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SMC01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SMC01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C2;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;LNC01C2;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;LNC01C2;árvore;NI;RETIRADA
1;ALIMENTADOR;A;LNC01C2;condutor;LM;ACOMPANHAR
1;ALIMENTADOR;A;LNC01C2;condutor;NI;ACOMPANHAR
1;ALIMENTADOR;A;LNC01C2;condutor;NI;ACOMPANHAR
1;ALIMENTADOR;P2;LNC01C2;condutor;NI;PEND F_PRAZO
1;ALIMENTADOR;A;LNC01C2;condutor;LM;ACOMPANHAR
1;ALIMENTADOR;A;LNC01C2;condutor;NI;ACOMPANHAR
1;ALIMENTADOR;A;LNC01C2;condutor;NI;ACOMPANHAR
1;ALIMENTADOR;P1;SMC01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C2;poste;LM;PEND F_PRAZO
